indroea;ano_hidr;qci;qci_com;mes_ci;dia_ci;qc;qc_com;mes_c;dia_c
1826;2016;;2;2;10;;2;2;5
1826;2017;;2;4;4;;2;3;17
1826;2019;6.99;2;12;21;;2;12;21
1832;2012;;;;;37.016;2;1;18
1827;2015;;2;2;13;;2;2;13
1831;2013;118.79;2;2;8;;;;
1827;2017;;2;3;11;;2;4;4
1827;2019;;;;;;2;12;21
1827;2020;;4;2;10;;4;2;10
1828;2015;;2;2;13;;2;2;13
1828;2016;;2;2;5;;2;2;5
1830;2015;;2;2;12;;2;2;12
1830;2016;;2;2;5;;2;2;5
1830;2020;;;;;54.308;2;12;11
1753;2007;10.13;2;1;11;10.061;2;6;13
1826;2020;;4;2;10;;4;2;10
1734;1915;;;;;292;1;12;8
1727;2001;38.176;2;2;6;;;;
1727;2003;143.617;2;12;30;;;;
1727;2004;71.446;2;10;31;;;;
1727;2008;221.253;2;1;23;170.4;2;1;23
1728;2008;;;;;260.656;2;1;24
1728;2013;;;;;454.024;2;3;2
1729;2008;65.008;2;1;23;65.008;2;1;23
1729;2009;56.63;2;2;24;;;;
1734;1925;;;;;246;1;12;22
1729;2011;;;;;21.816;2;4;19
1727;1989;160;2;12;22;;;;
1734;1916;;;;;314;1;12;23
1734;1917;;;;;262;1;1;20
1734;1918;;;;;315;1;2;15
1734;1919;;;;;170;1;4;12
1734;1920;;;;;16;1;10;7
1734;1921;;;;;246;1;4;6
1734;1922;;;;;207;1;2;21
1734;1923;;;;;326;1;3;26
1754;1959;;;;;287;1;12;27
1729;2010;;;;;36.424;2;1;6
1724;2005;87.038;2;3;24;73.673;2;3;26
1942;1959;;;;;82.5;1;12;22
1722;2008;62.143;2;1;23;49.373;2;1;23
1723;2007;9.65;2;1;16;9.464;2;5;3
1723;2010;;;;;37.3;2;1;7
1724;1979;86;2;1;;;;;
1724;1981;340;2;12;;;;;
1724;1985;190;2;2;;;;;
1724;1990;79;2;1;7;;;;
1724;1993;127;2;1;9;;;;
1727;1994;188;2;3;5;;;;
1724;2000;360.114;2;1;5;;;;
1727;1991;115;2;11;15;;;;
1724;2006;78.94;2;2;23;60.687;2;2;24
1725;2009;35.27;2;2;25;30.635;2;2;25
1726;2007;9.92;2;3;27;9.717;2;5;2
1726;2008;;;;;87.272;2;1;23
1727;1958;;;;;208;2;12;18
1727;1959;;;;;197;2;12;26
1727;1982;182;2;12;;;;;
1727;1986;77;2;2;17;;;;
1734;1926;;;;;170;1;11;20
1724;1994;82;2;12;31;;;;
1742;2008;14.65;2;1;23;14.65;2;1;23
1739;1925;1011;1;11;8;869;2;11;8
1739;1926;1209;1;2;27;965;2;2;27
1739;1927;818;1;12;23;545;2;12;23
1739;1928;;;;;190;1;2;4
1739;1929;;;;;1109;1;12;3
1739;1930;1090;1;1;3;789;2;1;3
1739;2008;;;;;302.79;2;1;24
1739;2009;337.8;2;3;1;268.294;2;3;1
1734;1924;;;;;93;1;11;29
1739;2011;;;;;87.961;2;5;9
1739;1922;817;1;11;4;709;2;11;4
1742;2009;39.26;2;2;27;;;;
1747;1955;;;;;227;1;12;15
1747;1959;;;;;687;1;12;27
1747;1960;;;;;350;1;11;17
1748;1951;294;1;11;8;;;;
1748;1955;;;;;139;1;12;15
1748;1959;;;;;362;1;12;26
1749;1955;;;;;451;1;12;15
1749;1959;;;;;780;1;12;27
1739;2010;;;;;351.54;2;1;7
1739;1913;;;;;1406;1;2;22
1734;1927;;;;;170;1;3;24
1734;1928;;;;;51;1;2;24
1734;1929;;;;;183;1;12;4
1734;1930;;;;;300;1;3;19
1734;1979;91;2;11;;;;;
1734;1990;127;2;3;6;;;;
1734;1994;75;2;3;6;;;;
1734;1995;167.97;2;12;25;;;;
1734;2004;33.025;2;10;20;;;;
1739;1924;832;1;2;26;580;2;2;26
1739;1912;;;;;457;1;10;1
1739;1923;1406;1;3;26;1045;2;3;26
1739;1914;;;;;1418;1;1;3
1739;1915;;;;;950;1;12;8
1739;1916;;;;;1818;1;12;23
1739;1917;;;;;969;1;4;5
1739;1918;;;;;2927;1;2;23
1739;1919;;;;;600;1;3;15
1739;1920;;;;;127;1;2;3
1739;1921;912;1;1;29;757;2;4;6
1721;2009;;;;;205.44;2;2;25
1734;2012;69.04;2;1;19;53.061;2;1;19
