ref_ceh;anomes;hmedmes;qmedmes;apormedmes;qcmes;hcmes;dia_cmes;qnmes;hnmes;dia_nmes;orig_dato_id
1401;197707;;59.138;158.395;71.24;;7;17.31;;17;1
1401;197708;;58.824;157.555;75.13;;31;5.35;;17;1
1401;197709;;64.077;166.088;75.37;;4;33.13;;18;1
1401;197710;;54.01;144.66;76.83;;20;16.77;;5;1
1401;197711;;54.135;140.318;72.5;;22;23.63;;27;1
1401;197712;;62.855;168.352;76.94;;8;12.86;;4;1
1401;197801;;61.638;165.091;77.37;;7;28.24;;28;1
1401;197802;;43.341;104.852;78.83;;5;0;;21;1
1401;197803;;45.659;122.293;73.31;;26;0;;1;1
1401;197804;;65.809;170.578;78.56;;8;29.37;;13;1
1401;197805;;66.448;177.974;76.76;;7;42.42;;9;1
1401;197806;;67.178;174.125;74.44;;11;48.76;;4;1
1401;197807;;59.952;160.575;74.8;;29;37.41;;9;1
1401;197808;;53.983;144.587;72.76;;9;19.07;;31;1
1401;197809;;19.444;50.399;39.06;;26;0;;23;1
1402;196110;;0;0;0;;1;0;;1;1
1402;196111;;0;0;0;;1;0;;1;1
1402;196112;;6.387;17.107;47;;29;0;;1;1
1402;196201;;13.258;35.51;60;;14;0;;6;1
1402;196202;;0;0;0;;1;0;;1;1
1402;196203;;4.631;12.403;60;;30;0;;1;1
1402;196204;;5.173;13.409;75;;2;0;;4;1
1402;196205;;0;0;0;;1;0;;1;1
1402;196206;;0;0;0;;1;0;;1;1
1402;196207;;0;0;0;;1;0;;1;1
1402;196208;;0;0;0;;1;0;;1;1
1402;196209;;0;0;0;;1;0;;1;1
1402;196310;;0;0;0;;1;0;;1;1
1402;196311;;0;0;0;;1;0;;1;1
1402;196312;;0.182;0.488;4.75;;6;0;;1;1
1402;196401;;0;0;0;;1;0;;1;1
1402;196402;;4.857;12.169;72.3;;27;0;;1;1
1402;196403;;14.512;38.868;68.75;;22;0;;1;1
1402;196404;;0;0;0;;1;0;;1;1
1402;196405;;0;0;0;;1;0;;1;1
1402;196406;;0;0;0;;1;0;;1;1
1402;196407;;0;0;0;;1;0;;1;1
1402;196408;;0;0;0;;1;0;;1;1
1402;196409;;0;0;0;;1;0;;1;1
1402;196510;;0;0;0;;1;0;;1;1
1402;196511;;0;0;0;;1;0;;1;1
1402;196512;;2.561;6.86;38.99;;7;0;;1;1
1402;196601;;0.772;2.068;12.62;;13;0;;1;1
1402;196602;;1.686;4.08;38.52;;9;0;;1;1
1402;196603;;1.014;2.715;31.42;;8;0;;1;1
1402;196604;;2.009;5.208;32.27;;13;0;;1;1
1402;196605;;0;0;0;;1;0;;1;1
1402;196606;;0;0;0;;1;0;;1;1
1402;196607;;0;0;0;;1;0;;1;1
1402;196608;;0;0;0;;1;0;;1;1
1402;196609;;0;0;0;;1;0;;1;1
1402;196610;;0;0;0;;1;0;;1;1
1402;196611;;0;0;0;;1;0;;1;1
1402;196612;;0;0;0;;1;0;;1;1
1402;196701;;0;0;0;;1;0;;1;1
1402;196702;;0;0;0;;1;0;;1;1
1402;196703;;0;0;0;;1;0;;1;1
1402;196704;;0;0;0;;1;0;;1;1
1402;196705;;0;0;0;;1;0;;1;1
1402;196706;;0;0;0;;1;0;;1;1
1402;196707;;0;0;0;;1;0;;1;1
1402;196708;;0;0;0;;1;0;;1;1
1402;196709;;0;0;0;;1;0;;1;1
1402;196710;;0;0;0;;1;0;;1;1
1402;196711;;0;0;0;;1;0;;1;1
1402;196712;;0;0;0;;1;0;;1;1
1402;196801;;0;0;0;;1;0;;1;1
1402;196802;;0;0;0;;1;0;;1;1
1402;196803;;0;0;0;;1;0;;1;1
1402;196804;;0;0;0;;1;0;;1;1
1402;196805;;0;0;0;;1;0;;1;1
1402;196806;;0;0;0;;1;0;;1;1
1402;196807;;0;0;0;;1;0;;1;1
1402;196808;;0;0;0;;1;0;;1;1
1402;196809;;0;0;0;;1;0;;1;1
1402;196810;;0;0;0;;1;0;;1;1
1402;196811;;0;0;0;;1;0;;1;1
1402;196812;;0;0;0;;1;0;;1;1
1402;196901;;0;0;0;;1;0;;1;1
1402;196902;;0;0;0;;1;0;;1;1
1402;196903;;0;0;0;;1;0;;1;1
1402;196904;;0;0;0;;1;0;;1;1
