indroea;ano_hidr;ano_hidr1;qcio;qci;extr_a_com;mes_ci;dia_ci;qco;qc;extr_a_comv;mes_c;dia_c
1642;2008;2009;;1828.2;INCOMPLETO CON VALOR ALTO;1;29;;1628.198;INCOMPLETO CON VALOR ALTO;1;29
1642;2010;2011;2263.257;;;;;;2002.166;INCOMPLETO CON VALOR ALTO;1;7
1644;2008;2009;;133.828;INCOMPLETO CON VALOR ALTO;1;23;;133.828;INCOMPLETO CON VALOR ALTO;1;23
1639;2008;2009;;121.813;INCOMPLETO CON VALOR ALTO;1;29;;121.813;INCOMPLETO CON VALOR ALTO;1;29
1641;1932;1933;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;;
1018;1928;1929;;;;;;;196;VALOR COMPLETADO;12;12
1018;1916;1917;;;;;;;1400;VALOR COMPLETADO;12;23
1018;1917;1918;;;;;;;800;VALOR COMPLETADO;1;22
1018;1918;1919;;;;;;;1882;VALOR COMPLETADO;2;22
1018;1919;1920;;;;;;;449;VALOR COMPLETADO;3;15
1018;1922;1923;;;;;;;937;VALOR COMPLETADO;2;28
1018;1923;1924;;1429;VALOR COMPLETADO;3;26;;1379;VALOR COMPLETADO;3;26
1018;1924;1925;;;;;;;604;VALOR COMPLETADO;11;29
1018;1925;1926;;;;;;;970;VALOR COMPLETADO;2;8
1607;1994;1995;;150;INCOMPLETO CON VALOR ALTO;1;2;120.396;;;;
1018;1927;1928;;507;VALOR COMPLETADO;12;23;;419;VALOR COMPLETADO;12;23
1018;1913;1914;;1262;VALOR COMPLETADO;2;22;;1177;VALOR COMPLETADO;2;22
1018;1929;1930;;1275;VALOR COMPLETADO;12;5;;922;VALOR COMPLETADO;12;5
1018;1930;1931;;;;;;;985;VALOR COMPLETADO;1;2
1019;1950;1951;;;;;;;13;VALOR COMPLETADO;4;19
1603;2007;2008;;30.77;INCOMPLETO CON VALOR ALTO;4;9;;14.486;INCOMPLETO CON VALOR ALTO;4;10
1603;2009;2010;;46.56;INCOMPLETO CON VALOR ALTO;12;6;;36.57;INCOMPLETO CON VALOR ALTO;2;25
1605;2007;2008;;78.29;INCOMPLETO CON VALOR ALTO;4;12;;74.502;INCOMPLETO CON VALOR ALTO;4;12
1607;1982;1983;;115;INCOMPLETO CON VALOR ALTO;2;;113.833;;;;
1607;1986;1987;;62;INCOMPLETO CON VALOR ALTO;4;4;57.8;;;;
1619;1988;1989;;170;INCOMPLETO CON VALOR ALTO;3;;121.436;;;;
1018;1926;1927;;;;;;;849;VALOR COMPLETADO;2;27
1010;1925;1926;;264;GRAN CRECIDA CON DATO DE ALTURA;11;7;;;;;
1010;1914;1915;;583;VALOR COMPLETADO;12;11;;504;VALOR COMPLETADO;12;11
1010;1915;1916;;;;;;;224;VALOR COMPLETADO;12;8
1010;1916;1917;;;;;;;478;VALOR COMPLETADO;12;23
1010;1917;1918;;;;;;;132;VALOR COMPLETADO;4;4
1010;1918;1919;;;;;;;409;VALOR COMPLETADO;2;23
1010;1919;1920;;;;;;;202;VALOR COMPLETADO;4;12
1010;1920;1921;;;;;;;120;VALOR COMPLETADO;12;28
1010;1921;1922;;305;VALOR COMPLETADO;4;5;;292;VALOR COMPLETADO;4;5
1010;1922;1923;;240;VALOR COMPLETADO;11;4;;231;VALOR COMPLETADO;11;4
1018;1915;1916;;;;;;;900;VALOR COMPLETADO;12;24
1010;1924;1925;;;;;;;152;VALOR COMPLETADO;4;19
1018;1914;1915;;;;;;;1300;VALOR COMPLETADO;12;11
1010;1926;1927;;350;GRAN CRECIDA CON DATO DE ALTURA;11;20;;;;;
1010;1927;1928;;226;GRAN CRECIDA CON DATO DE ALTURA;12;22;;;;;
1010;1928;1929;;166;VALOR COMPLETADO;10;28;;134;VALOR COMPLETADO;10;28
1010;1929;1930;;239;GRAN CRECIDA CON DATO DE ALTURA;11;15;;;;;
1010;1930;1931;;;;;;;206;VALOR COMPLETADO;1;3
1010;1942;1943;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;;
1010;1944;1945;;;;;;;353;VALOR COMPLETADO;12;11
1010;1954;1955;;;;;;221;220;VALOR COMPLETADO;1;24
1607;1995;1996;;102.6;INCOMPLETO CON VALOR ALTO;1;1;99.119;;;;
1010;1923;1924;;555;VALOR COMPLETADO;3;26;;487;VALOR COMPLETADO;3;26
1617;1992;1993;;83;INCOMPLETO CON VALOR ALTO;12;5;72.538;;;;
1609;1926;1927;;;;;;;202;VALOR COMPLETADO;2;27
1609;1927;1928;;;;;;;162;VALOR COMPLETADO;12;28
1609;1928;1929;;;;;;;51;VALOR COMPLETADO;1;7
1609;1929;1930;;;;;;;370;VALOR COMPLETADO;12;4
1609;1930;1931;;;;;;;112;VALOR COMPLETADO;2;24
1609;1952;1953;;;;;;;145;VALOR COMPLETADO;11;27
1617;1982;1983;;105;INCOMPLETO CON VALOR ALTO;12;;65.4;;;;
1617;1985;1986;;122;INCOMPLETO CON VALOR ALTO;2;;83;;;;
1607;1993;1994;;152;INCOMPLETO CON VALOR ALTO;1;7;141.016;;;;
1617;1991;1992;;83;INCOMPLETO CON VALOR ALTO;11;15;50.062;;;;
1609;1923;1924;;;;;;;117;VALOR COMPLETADO;11;13
1617;1993;1994;;172;INCOMPLETO CON VALOR ALTO;1;6;;131;INCOMPLETO CON VALOR ALTO;1;6
1617;2001;2002;;33.152;INCOMPLETO CON VALOR ALTO;10;22;23.623;;;;
1617;2002;2003;;97.75;INCOMPLETO CON VALOR ALTO;11;14;66.339;;;;
1617;2003;2004;;67.422;INCOMPLETO CON VALOR ALTO;12;30;;52.737;INCOMPLETO CON VALOR ALTO;12;30
1617;2004;2005;;24.94;INCOMPLETO CON VALOR ALTO;4;21;;22.307;INCOMPLETO CON VALOR ALTO;4;21
1617;2007;2008;;71.869;INCOMPLETO CON VALOR ALTO;4;8;;40.889;INCOMPLETO CON VALOR ALTO;4;9
1619;1978;1979;;524;INCOMPLETO CON VALOR ALTO;12;;350;;;;
1619;1983;1984;;252;INCOMPLETO CON VALOR ALTO;1;;214;;;;
1721;2020;2021;;154.611;INCOMPLETO CON VALOR ALTO;12;11;;125.16;INCOMPLETO CON VALOR ALTO;12;11
1617;1986;1987;;53;INCOMPLETO CON VALOR ALTO;2;17;39;;;;
1608;2004;2005;;19.175;INCOMPLETO CON VALOR ALTO;5;17;;16.127;INCOMPLETO CON VALOR ALTO;4;22
1607;2000;2001;;;GRAN CRECIDA CON DATO DE ALTURA;12;8;;;GRAN CRECIDA CON DATO DE ALTURA;12;8
1607;2002;2003;80.28;;;;;;78.03;INCOMPLETO CON VALOR ALTO;11;24
1607;2003;2004;;111.023;INCOMPLETO CON VALOR ALTO;12;4;;101.65;INCOMPLETO CON VALOR ALTO;12;4
1607;2004;2005;;17.182;INCOMPLETO CON VALOR ALTO;5;16;;16.541;INCOMPLETO CON VALOR ALTO;12;29
1607;2006;2007;;136.892;INCOMPLETO CON VALOR ALTO;12;10;130.706;;;;
1607;2008;2009;154.44;;;;;;146.917;INCOMPLETO CON VALOR ALTO;1;27
1608;1979;1980;;46;INCOMPLETO CON VALOR ALTO;1;;45.6;;;;
1608;1986;1987;;46;INCOMPLETO CON VALOR ALTO;4;4;33.73;;;;
1608;1989;1990;;99;INCOMPLETO CON VALOR ALTO;12;22;97.488;;;;
1609;1925;1926;;202;VALOR COMPLETADO;11;8;;192;VALOR COMPLETADO;11;8
1608;2003;2004;;111.241;INCOMPLETO CON VALOR ALTO;12;4;;104.364;INCOMPLETO CON VALOR ALTO;12;4
1609;1924;1925;;;;;;;127;VALOR COMPLETADO;2;27
1608;2005;2006;;35.814;INCOMPLETO CON VALOR ALTO;12;3;99.452;;;;
1609;1915;1916;;;;;;;147;VALOR COMPLETADO;12;29
1609;1916;1917;;;;;;;197;VALOR COMPLETADO;12;25
1609;1917;1918;;;;;;;97;VALOR COMPLETADO;1;17
1609;1918;1919;;;;;;;162;VALOR COMPLETADO;2;24
1609;1920;1921;;;;;;;48;VALOR COMPLETADO;12;29
1609;1921;1922;;;;;;;122;VALOR COMPLETADO;2;6
1609;1922;1923;;;;;;;112;VALOR COMPLETADO;2;13
1619;1986;1987;;122;INCOMPLETO CON VALOR ALTO;2;17;103.5;;;;
1608;2000;2001;;;GRAN CRECIDA CON DATO DE ALTURA;12;8;;;GRAN CRECIDA CON DATO DE ALTURA;12;8
1809;2010;2011;133.45;;;;;;46.7;INCOMPLETO CON VALOR ALTO;1;6
1769;1929;1930;;;;;;;418;VALOR COMPLETADO;12;3
1769;1930;1931;;;;;;;600;VALOR COMPLETADO;1;2
1769;1942;1943;;;;;;;615;VALOR COMPLETADO;12;18
1769;1951;1952;;628;VALOR COMPLETADO;4;1;630.8;552;DATO CORREGIDO ESTADISTICO ANUARIOS;4;1
1805;2007;2008;;15.59;INCOMPLETO CON VALOR ALTO;4;21;;14.211;INCOMPLETO CON VALOR ALTO;4;21
1805;2011;2012;;18.189;INCOMPLETO CON VALOR ALTO;5;5;;17.221;INCOMPLETO CON VALOR ALTO;5;5
1805;2012;2013;;95.644;INCOMPLETO CON VALOR ALTO;1;19;;82.544;INCOMPLETO CON VALOR ALTO;1;19
1806;2008;2009;;9.941;INCOMPLETO CON VALOR ALTO;1;23;;9.941;INCOMPLETO CON VALOR ALTO;1;23
1823;2011;2012;126.61;;;;;;72.819;INCOMPLETO CON VALOR ALTO;5;9
1809;2009;2010;;46.04;INCOMPLETO CON VALOR ALTO;1;12;;35.79;INCOMPLETO CON VALOR ALTO;12;6
1769;1926;1927;;;;;;;750;VALOR COMPLETADO;2;27
1809;2011;2012;177.26;;;;;;19.454;INCOMPLETO CON VALOR ALTO;10;26
1809;2012;2013;142.136;;;;;;73.385;INCOMPLETO CON VALOR ALTO;12;14
1809;2013;2014;170.53;;;;;;51.515;INCOMPLETO CON VALOR ALTO;12;24
1821;2012;2013;;;GRAN CRECIDA CON DATO DE ALTURA;1;19;;;GRAN CRECIDA CON DATO DE ALTURA;1;19
1821;2013;2014;;;GRAN CRECIDA CON DATO DE ALTURA;2;8;;;GRAN CRECIDA CON DATO DE ALTURA;2;8
1821;2016;2017;;;INCOMPLETO CON VALOR ALTO;3;5;1.976;;;;
1821;2017;2018;;;;;;;7.135;INCOMPLETO CON VALOR ALTO;3;11
1821;2018;2019;16.256;;;;;;7.349;INCOMPLETO CON VALOR ALTO;1;31
1753;2008;2009;120.579;;;;;;105.536;INCOMPLETO CON VALOR ALTO;1;23
1806;2009;2010;;39.75;INCOMPLETO CON VALOR ALTO;2;24;25.64;;;;
1769;1917;1918;;;;;;;650;VALOR COMPLETADO;4;4
1720;2013;2014;;4.99;INCOMPLETO CON VALOR ALTO;3;1;;3.459;INCOMPLETO CON VALOR ALTO;2;8
1763;2007;2008;4.46;;;;;;3.579;INCOMPLETO CON VALOR ALTO;4;21
1765;1978;1979;;160;INCOMPLETO CON VALOR ALTO;12;;132;;;;
1765;1980;1981;;88;INCOMPLETO CON VALOR ALTO;12;;47;;;;
1765;1988;1989;;23;INCOMPLETO CON VALOR ALTO;4;13;18.347;;;;
1765;1996;1997;;115;INCOMPLETO CON VALOR ALTO;11;22;65.26;;;;
1765;2008;2009;32.27;;;;;;28.499;INCOMPLETO CON VALOR ALTO;1;28
1768;1963;1964;;;;;;1304;1304;VALOR COMPLETADO;3;21
1769;1913;1914;;;;;;;1732;VALOR COMPLETADO;2;22
1769;1928;1929;;;;;;;114;VALOR COMPLETADO;1;14
1769;1916;1917;;;;;;;1833;VALOR COMPLETADO;12;24
1769;1927;1928;;;;;;;325;VALOR COMPLETADO;3;27
1769;1918;1919;;;;;;;2027;VALOR COMPLETADO;2;23
1769;1919;1920;;;;;;;418;VALOR COMPLETADO;4;12
1769;1920;1921;;;;;;;166;VALOR COMPLETADO;12;29
1769;1921;1922;;;;;;;483;VALOR COMPLETADO;1;30
1769;1922;1923;;;;;;;522;VALOR COMPLETADO;3;1
1769;1923;1924;;844;VALOR COMPLETADO;3;26;;;;;
