indroea;anomes;hmedmes;qmedmes;apormedmes;qcmes;hcmes;dia_cmes;qnmes;hnmes;dia_nmes;orig_dato_id
1609;197112;0.55;18.584;49.776;43.6;0.96;1;11.6;0.4;22;1
1609;197201;0.8;34.713;92.975;98.4;1.48;21;15;0.5;7;1
1609;197202;1.22;74.674;187.104;161.6;1.94;6;24.4;0.68;29;1
1609;197203;0.93;46.646;124.936;161.6;1.94;9;2.87;0.75;21;1
1609;197204;0.48;14.861;38.521;31.35;0.79;12;7.35;0.25;11;1
1609;197205;0.6;21.168;56.696;54;1.08;23;10.36;0.36;1;1
1609;197206;0.4;11.874;30.777;16.5;0.53;6;8.27;0.29;30;1
1609;197207;0.14;5.082;13.611;8.04;0.28;1;3.4;0.04;30;1
1609;197208;0.02;3.158;8.459;3.4;0.04;1;2.8;0;26;1
1609;197209;0.01;2.945;7.633;3.4;0.04;12;2.8;0;1;1
1609;197210;0.12;5.658;15.155;22.75;0.65;27;3.54;0.03;22;1
1609;197211;0.39;13.422;34.79;26.8;0.72;19;5.68;0.14;14;1
1609;197212;0.57;19.929;53.378;40;0.9;3;10.85;0.35;25;1
1609;197301;0.65;25.08;67.175;71.5;1.25;22;12.62;0.41;7;1
1609;197302;0.75;30.28;73.254;61;1.15;2;16.4;0.52;9;1
1609;197303;0.44;14.178;37.975;33.6;0.82;28;8.92;0.28;23;1
1609;197304;0.36;11.248;29.154;15.95;0.51;11;8.92;0.28;21;1
1609;197305;0.59;21.514;57.622;48;1.02;4;10.56;0.34;31;1
1609;197306;0.16;6.213;16.105;9.98;0.32;1;4.8;0.1;17;1
1609;197307;0.05;3.883;10.399;4.8;0.1;1;3;0;30;1
1609;197308;0;3;8.035;3;0;1;3;0;1;1
1609;197309;0;3;7.776;3;0;1;3;0;1;1
1609;197310;0.29;10.839;29.03;20;0.6;16;3;0;1;1
1609;197311;0.1;6.517;16.891;8.5;0.2;30;5.5;0.04;23;1
1609;197312;0.31;12.142;32.521;22.8;0.65;23;6.2;0.08;12;1
1609;197401;0.86;39.797;106.592;77;1.3;9;11.9;0.35;23;1
1609;197402;1.11;62.561;151.347;142;1.8;17;20;0.6;27;1
1609;197403;0.69;25.687;68.8;43;0.95;5;16.2;0.5;30;1
1609;197404;0.29;10.547;27.337;16.2;0.5;1;8.5;0.2;20;1
1609;197405;0.36;12.784;34.24;20;0.6;5;7.1;0.13;30;1
1609;197406;0.16;8.017;20.779;18.1;0.55;29;5.7;0.05;12;1
1609;197407;0.12;8.135;21.79;60;1.14;6;4.9;0;19;1
1609;197408;0;4.9;13.124;4.9;0;1;4.9;0;1;1
1609;197409;0.01;5.07;13.141;6;0.07;26;4.9;0;1;1
1617;197010;0.29;0.17;0.455;0.29;0.31;9;0.09;0.27;26;1
1617;197011;0.44;2.374;6.154;12.2;0.9;29;0.01;0.2;19;1
1617;197012;0.55;3.434;9.196;10.6;0.85;1;1.1;0.4;20;1
1617;197101;0.95;18.391;49.258;63;1.8;25;1.1;0.4;6;1
1617;197102;0.81;10.571;25.574;35.5;1.4;18;1.98;0.47;26;1
1617;197103;0.79;10.94;29.301;63;1.8;18;1.98;0.47;14;1
1617;197104;0.7;6.573;17.036;11.56;0.88;5;5.33;0.65;14;1
1617;197105;0.68;6.138;16.441;9.64;0.82;26;4.2;0.6;14;1
1617;197106;0.68;6.321;16.385;16;1;15;3.25;0.55;29;1
1617;197107;0.48;2.289;6.132;9;0.8;26;0.56;0.34;17;1
1617;197108;0.49;2.353;6.302;6;0.68;7;1.1;0.4;15;1
1617;197109;0.38;0.917;2.377;1.22;0.41;2;0.47;0.33;5;1
1617;197110;0.37;0.821;2.2;1.1;0.4;14;0.56;0.34;6;1
1617;197111;0.49;2.682;6.953;16;1;30;0.74;0.36;4;1
1617;197112;0.67;6.11;16.364;17.74;1.04;3;3.12;0.54;25;1
1617;197201;0.88;13.594;36.409;63;1.8;20;3.48;0.56;6;1
1617;197202;1.26;31.553;79.06;100;2.2;4;9;0.8;29;1
1617;197203;1;19.465;52.135;122.5;2.4;8;4.2;0.6;25;1
1617;197204;0.7;7.129;18.478;27.4;1.25;11;4.02;0.59;27;1
1617;197205;0.73;7.905;21.173;30.1;1.3;22;3.66;0.57;11;1
1617;197206;0.55;3.389;8.784;6.27;0.69;7;1.88;0.46;29;1
1617;197207;0.36;0.732;1.961;1.88;0.46;2;0.18;0.29;31;1
1617;197208;0.29;0.174;0.466;0.29;0.31;2;0.14;0.27;21;1
1617;197209;0.28;0.167;0.432;0.2;0.3;10;0.14;0.27;1;1
1617;197210;0.36;0.875;2.343;4.66;0.62;27;0.18;0.29;9;1
1617;197211;0.53;3.282;8.506;8.5;0.78;20;1.01;0.39;6;1
1617;197212;0.72;7.566;20.266;23.83;1.18;7;3.66;0.57;21;1
1617;197301;0.8;10.2;27.321;40.5;1.48;22;3.48;0.56;10;1
1617;197302;0.92;13.818;33.428;33.88;1.37;1;5.35;0.65;10;1
1617;197303;0.66;5.713;15.302;14.1;0.95;1;2.58;0.51;24;1
1617;197304;0.51;2.837;7.354;4.43;0.61;10;1.01;0.39;22;1
1617;197305;0.81;10.405;27.867;35.5;1.4;21;3.84;0.58;17;1
1617;197306;0.5;2.553;6.617;5.35;0.65;2;1.01;0.39;29;1
1617;197307;0.36;0.752;2.015;1.36;0.42;25;0.16;0.28;14;1
1617;197308;0.27;0.19;0.508;0.65;0.35;1;0.11;0.25;16;1
1617;197309;0.26;0.119;0.308;0.14;0.27;23;0.11;0.25;1;1
1617;197410;0.27;3.786;10.141;6.05;0.37;19;2.14;0.19;1;1
1617;197411;0.36;6.624;17.169;33.5;1.1;25;1.98;0.18;6;1
1617;197412;0.34;5.348;14.325;6.55;0.39;25;4.3;0.3;22;1
1617;197501;0.68;17.774;47.606;45;1.34;18;5.55;0.35;1;1
1617;197502;0.57;12.699;30.722;25.4;0.91;15;8.66;0.46;26;1
1617;197503;0.86;24.501;65.623;72.8;1.84;10;11.04;0.53;1;1
1617;197504;0.46;8.817;22.855;13.7;0.6;4;6.3;0.38;27;1
1617;197505;0.31;4.671;12.51;6.55;0.39;18;3.2;0.25;28;1
1617;197506;0.19;2.193;5.683;4.08;0.29;1;1.66;0.16;15;1
1617;197507;0.11;0.964;2.582;1.66;0.16;1;0.64;0.08;26;1
1617;197508;0.07;0.565;1.514;0.64;0.08;1;0.48;0.06;21;1
1617;197509;0.15;1.974;5.116;15.92;0.66;28;0.48;0.06;1;1
1617;197510;0.24;3.371;9.028;16.29;0.67;1;1.82;0.17;11;1
1617;197511;0.39;6.732;17.448;16.29;0.67;30;4.3;0.3;23;1
1617;197512;0.46;9.044;24.222;30.35;1.03;3;5.3;0.34;31;1
1617;197601;0.37;6.707;17.964;37.55;1.19;31;4.08;0.29;12;1
1617;197602;0.52;10.801;27.064;22.2;0.83;1;6.55;0.39;29;1
1617;197603;0.44;8.436;22.594;20.28;0.78;24;5.05;0.33;6;1
1617;197604;0.36;5.767;14.947;8.66;0.46;4;4.08;0.29;30;1
1617;197605;0.23;2.981;7.985;5.3;0.34;11;1.5;0.15;31;1
1617;197606;0.1;0.842;2.182;1.5;0.15;1;0.64;0.08;19;1
1617;197607;0.09;0.801;2.146;2.3;0.2;5;0.4;0.05;29;1
1617;197608;0.06;0.503;1.346;1.08;0.12;29;0.4;0.05;1;1
1617;197609;0.08;0.628;1.628;1.5;0.15;29;0.48;0.06;6;1
1617;197610;0.5;11.304;30.275;31.25;1.05;24;1.36;0.14;1;1
1617;197611;0.69;17.912;46.428;83;2;4;6.8;0.4;28;1
1617;197612;0.85;24.196;64.806;58.5;1.6;3;8.97;0.47;30;1
1617;197701;0.74;19.125;51.224;39;1.22;13;8.66;0.46;7;1
1617;197702;1.05;32.708;79.126;90;2.1;11;17.4;0.7;1;1
1617;197703;0.71;17.799;47.674;30.8;1.04;13;11.04;0.53;31;1
1617;197704;0.48;9.668;25.059;19.56;0.76;5;5.55;0.35;27;1
1617;197705;0.38;6.416;17.185;8.97;0.47;5;4.8;0.32;11;1
1617;197706;0.33;4.998;12.955;7.73;0.43;18;3.64;0.27;28;1
1617;197707;0.25;3.304;8.85;7.11;0.41;7;2.3;0.2;24;1
1617;197708;0.23;2.885;7.727;6.8;0.4;28;1.5;0.15;15;1
1617;197709;0.22;2.672;6.927;4.55;0.31;25;2.3;0.2;19;1
1617;197710;0.41;7.512;20.12;25.8;0.92;8;2.3;0.2;1;1
1617;197711;0.35;5.645;14.631;8.97;0.47;7;4.08;0.29;2;1
1617;197712;0.63;14.839;39.746;43;1.3;11;5.55;0.35;1;1
1617;197801;0.79;21.75;58.254;83;2;27;9.9;0.5;16;1
1617;197802;0.9;26.156;63.276;58.5;1.6;28;10.66;0.52;12;1
1617;197803;0.73;18.912;50.655;64.25;1.7;1;11.04;0.53;13;1
1617;197804;0.61;13.885;35.991;28.2;0.98;2;9.28;0.48;22;1
1617;197805;0.48;9.422;25.235;18.12;0.72;1;5.8;0.36;31;1
1617;197806;0.32;4.876;12.639;6.8;0.4;24;3.02;0.24;5;1
1617;197807;0.19;2.191;5.868;3.2;0.25;1;1.82;0.17;15;1
1617;197808;0.12;1.162;3.112;1.82;0.17;1;0.64;0.08;24;1
1617;197809;0.09;0.693;1.797;0.8;0.1;6;0.64;0.08;1;1
1617;197810;0.07;0.555;1.486;0.64;0.08;1;0.48;0.06;21;1
1617;197811;0.06;0.496;1.286;0.72;0.09;29;0.48;0.06;1;1
1617;197812;0.61;16.872;45.189;119.343;2.48;29;0.64;0.08;1;1
1617;197901;0.82;22.931;61.418;80.4;1.96;12;9.59;0.49;9;1
1617;197902;1.04;32.283;78.1;68.85;1.78;15;12.18;0.56;27;1
1617;197903;0.74;19.183;51.38;40.5;1.25;26;10.66;0.52;13;1
1617;197904;0.78;20.452;53.011;37.1;1.18;3;11.42;0.54;30;1
1617;197905;0.46;9.132;24.46;23.4;0.86;30;4.08;0.29;16;1
1617;197906;0.32;4.917;12.744;10.66;0.52;1;2.48;0.21;29;1
1617;197907;0.15;1.51;4.044;2.48;0.21;2;0.72;0.09;26;1
1617;197908;0.09;0.689;1.846;0.72;0.09;1;0.56;0.07;27;1
1617;197909;0.07;0.56;1.452;0.56;0.07;1;0.56;0.07;1;1
1617;197910;0.16;1.824;4.885;6.3;0.38;25;0.56;0.07;1;1
1617;197911;0.41;7.878;20.421;29;1;15;2.66;0.22;7;1
1617;197912;0.67;16.792;44.976;31.25;1.05;13;5.3;0.34;6;1
1617;198001;0.79;20.961;56.143;46;1.36;23;14.44;0.62;13;1
1617;198002;0.75;19.078;47.802;22.2;0.83;1;15.55;0.65;29;1
1617;198003;0.58;12.934;34.641;32.6;1.08;27;7.73;0.43;23;1
1617;198004;0.57;12.686;32.883;25;0.9;14;6.3;0.38;29;1
1617;198005;0.44;8.305;22.245;18.84;0.74;12;5.05;0.33;27;1
1617;198006;0.31;4.529;11.74;6.55;0.39;15;3.02;0.24;8;1
1617;198007;0.19;2.177;5.832;3.02;0.24;1;1.5;0.15;23;1
1617;198008;0.11;0.901;2.414;1.5;0.15;1;0.64;0.08;28;1
1617;198009;0.07;0.597;1.548;0.64;0.08;1;0.56;0.07;15;1
1617;198010;0.21;2.809;7.524;8.66;0.46;18;0.56;0.07;1;1
1617;198011;0.33;5.44;14.101;20.64;0.79;12;2.3;0.2;5;1
1617;198012;0.51;12.367;33.123;91.4;2.12;20;3.42;0.26;12;1
1617;198101;0.47;9.238;24.744;24.2;0.88;16;5.3;0.34;7;1
1617;198102;0.46;9.14;22.111;46;1.36;28;4.8;0.32;17;1
1617;198103;0.61;14.123;37.826;44;1.32;30;8.35;0.45;21;1
1617;198104;0.51;10.267;26.612;16.66;0.68;13;7.73;0.43;24;1
1617;198105;0.5;10.051;26.921;14.07;0.61;30;7.11;0.41;2;1
1617;198106;0.3;4.71;12.207;10.28;0.51;3;1.5;0.15;29;1
1617;198107;0.11;0.917;2.455;1.36;0.14;1;0.08;0.01;31;1
1617;198108;0.05;0.4;1.071;0.56;0.07;1;0.08;0.01;31;1
1617;198109;0.06;0.47;1.218;1.98;0.18;27;0.32;0.04;1;1
1617;198110;0.27;3.825;10.246;7.42;0.42;13;0.72;0.09;1;1
1617;198111;0.18;1.977;5.125;2.66;0.22;1;1.5;0.15;30;1
1617;198112;0.98;34.042;91.177;109;2.36;23;1.36;0.14;3;1
1617;198201;0.65;15.627;41.856;34.4;1.12;1;9.28;0.48;30;1
1617;198202;0.48;9.781;23.662;21.8;0.82;23;5.3;0.34;10;1
1617;198203;0.48;9.591;25.688;15.18;0.64;5;5.8;0.36;31;1
1617;198204;0.29;4.185;10.848;6.55;0.39;4;2.3;0.2;28;1
1617;198205;0.15;1.601;4.289;2.66;0.22;13;0.72;0.09;31;1
1617;198206;0.18;1.948;5.049;3.02;0.24;26;0.72;0.09;1;1
1617;198207;0.16;1.64;4.393;5.05;0.33;20;0.8;0.1;11;1
1617;198208;0.07;0.603;1.616;1.08;0.12;1;0.4;0.05;23;1
1617;198209;0.06;0.561;1.453;1.98;0.18;28;0.32;0.04;6;1
1617;198210;0.45;9.133;24.462;33.05;1.09;13;1.08;0.12;1;1
1617;198211;0.64;15.64;40.538;37.1;1.18;8;5.05;0.33;1;1
1617;198212;0.88;25.472;68.223;65.4;1.72;21;10.66;0.52;31;1
1617;198301;0.42;7.395;19.807;10.66;0.52;2;5.05;0.33;29;1
1617;198302;0.5;10.664;25.799;26.6;0.94;26;5.05;0.33;4;1
1617;198303;0.5;10.068;26.967;17.76;0.71;15;6.8;0.4;23;1
1617;198304;0.8;21.319;55.26;37.1;1.18;24;11.8;0.55;16;1
1617;198305;0.8;21.444;57.436;38;1.2;17;13.7;0.6;29;1
1617;198306;0.38;6.621;17.161;17.03;0.69;1;3.02;0.24;30;1
1617;198307;0.19;2.221;5.95;3.02;0.24;1;1.5;0.15;29;1
1617;198308;0.15;1.467;3.929;1.98;0.18;1;1.22;0.13;20;1
1617;198309;0.13;1.173;3.041;1.22;0.13;1;1.08;0.12;21;1
1617;198310;0.11;0.99;2.651;1.5;0.15;19;0.8;0.1;23;1
1617;198311;0.15;1.517;3.933;3.64;0.27;21;0.8;0.1;1;1
1617;198312;0.48;11.04;29.569;39;1.22;23;1.66;0.16;3;1
1617;198401;0.73;19.19;51.398;66.55;1.74;31;7.42;0.42;2;1
1617;198402;0.7;17.633;44.182;51.15;1.46;23;9.28;0.48;20;1
1617;198403;0.53;11.49;30.776;25;0.9;28;6.3;0.38;23;1
1617;198404;0.56;12.734;33.007;41;1.26;1;6.8;0.4;18;1
1617;198405;0.55;12.237;32.775;49.05;1.42;24;6.8;0.4;1;1
1617;198406;0.46;9.305;24.119;21;0.8;3;4.8;0.32;20;1
1617;198407;0.18;2.114;5.661;5.3;0.34;1;0.72;0.09;30;1
1617;198408;0.08;0.653;1.749;0.72;0.09;1;0.56;0.07;27;1
1617;198409;0.07;0.573;1.484;1.5;0.15;30;0.32;0.04;17;1
1617;198410;0.34;6.108;16.36;42;1.28;5;2.66;0.22;1;1
1617;198411;0.6;14.662;38.003;41;1.26;19;3.64;0.27;11;1
1617;198412;0.71;18.121;48.535;48;1.4;16;9.9;0.5;11;1
1617;198501;0.73;18.956;50.771;56.4;1.56;18;7.73;0.43;15;1
1617;198502;0.95;30.179;73.008;112;2.4;15;10.28;0.51;6;1
1617;198503;0.77;20.381;54.589;53.775;1.51;22;9.9;0.5;14;1
1617;198504;0.67;16.594;43.011;42;1.28;9;8.35;0.45;30;1
1617;198505;0.39;6.708;17.968;10.28;0.51;6;4.3;0.3;31;1
1617;198506;0.27;3.75;9.72;6.55;0.39;2;2.3;0.2;28;1
1617;198507;0.17;1.845;4.942;3.64;0.27;3;0.94;0.11;29;1
1617;198508;0.11;1.013;2.713;1.5;0.15;3;0.72;0.09;27;1
1617;198509;0.08;0.616;1.597;0.8;0.1;4;0.48;0.06;22;1
1617;198510;0.06;0.506;1.355;0.56;0.07;11;0.48;0.06;1;1
1617;198511;0.19;2.383;6.178;6.05;0.37;7;0.48;0.06;1;1
1617;198512;0.41;8.045;21.547;29;1;25;1.66;0.16;1;1
1617;198601;0.93;26.774;71.712;53.25;1.5;7;13.7;0.6;19;1
1617;198602;0.95;27.885;67.459;83;2;17;11.04;0.53;20;1
1617;198603;0.57;12.369;33.128;16.66;0.68;13;9.59;0.49;7;1
1617;198604;0.6;13.872;35.955;32.15;1.07;23;8.66;0.46;14;1
1617;198605;0.45;8.614;23.071;14.07;0.61;7;4.08;0.29;31;1
1617;198606;0.21;2.511;6.508;3.86;0.28;1;1.66;0.16;30;1
1617;198607;0.1;0.81;2.17;1.66;0.16;1;0.64;0.08;23;1
1617;198608;0.07;0.534;1.431;0.64;0.08;1;0.48;0.06;7;1
1617;198609;0.2;2.914;7.552;13.7;0.6;15;0.48;0.06;1;1
1617;198610;0.14;1.434;3.841;2.3;0.2;1;0.8;0.1;26;1
1617;198611;0.29;4.266;11.057;9.9;0.5;14;1.98;0.18;1;1
1617;198612;0.5;10.292;27.565;27.4;0.96;22;3.64;0.27;3;1
1617;198701;0.56;12.125;32.476;18.48;0.73;13;9.59;0.49;8;1
1617;198702;0.6;13.723;33.199;39;1.22;17;8.66;0.46;9;1
1617;198703;0.43;8.149;21.826;18.84;0.74;29;5.05;0.33;19;1
1617;198704;0.56;12.534;32.489;33.5;1.1;5;5.8;0.36;23;1
1617;198705;0.3;4.304;11.527;6.3;0.38;1;2.3;0.2;28;1
1617;198706;0.22;2.705;7.01;3.86;0.28;13;2.14;0.19;5;1
1617;198707;0.14;1.479;3.961;4.8;0.32;16;0.8;0.1;12;1
1617;198708;0.07;0.57;1.528;0.8;0.1;1;0.4;0.05;24;1
1617;198709;0.07;0.568;1.472;0.8;0.1;1;0.4;0.05;15;1
1617;198710;0.54;13.898;37.224;76.344;1.9;15;0.8;0.1;1;1
1617;198711;0.64;15.341;39.764;31.637;1.06;25;9.9;0.5;7;1
1617;198712;0.71;18.01;48.239;42.906;1.3;5;9.247;0.48;29;1
1617;198801;0.93;27.159;72.744;95.6;2.18;6;15.562;0.65;19;1
1617;198802;0.86;24.468;61.307;52.125;1.48;6;9.247;0.48;27;1
1617;198803;0.41;7.12;19.07;15.93;0.66;31;5.26;0.34;16;1
1617;198804;0.54;11.456;29.693;15.562;0.65;24;8.269;0.45;8;1
1617;198805;0.57;12.463;33.381;28.183;0.98;3;7.975;0.44;26;1
1617;198806;0.41;7.121;18.457;12.537;0.57;16;4.78;0.32;25;1
1617;198807;0.29;4.107;11;6.8;0.4;3;1.98;0.18;30;1
1617;198808;0.12;1.033;2.767;1.98;0.18;1;0.63;0.08;30;1
1617;198809;0.07;0.537;1.391;0.8;0.1;2;0.46;0.06;9;1
1617;199110;0.35;6.411;17.171;12.427;0.55;14;2.632;0.2;7;1
1617;199111;0.65;16.349;42.376;50.062;1.44;15;5.926;0.34;1;1
1617;199112;0.38;7.07;18.936;10.425;0.49;1;4.406;0.28;31;1
1617;199201;0.34;6.026;16.141;15.138;0.63;9;4.406;0.28;1;1
1617;199202;0.32;5.333;13.362;8.518;0.43;13;4.643;0.29;1;1
1617;199203;0.35;6.245;16.725;17.534;0.7;31;4.881;0.3;1;1
1617;199204;0.47;10.133;26.265;24.19;0.88;1;4.406;0.28;28;1
1617;199205;0.2;2.62;7.016;4.406;0.28;1;1.894;0.16;15;1
1617;199206;0.24;3.698;9.584;6.47;0.36;8;1.557;0.14;30;1
1617;199207;0.09;0.936;2.507;1.894;0.16;1;0.289;0.04;30;1
1617;199208;0.02;0.14;0.374;0.361;0.05;31;0.072;0.01;16;1
1617;199209;0.11;1.793;4.648;12.765;0.56;28;0.144;0.02;16;1
1617;199210;0.33;6.738;18.047;40.944;1.26;30;1.894;0.16;16;1
1617;199211;0.59;13.988;36.258;29.44;1.01;18;8.213;0.42;9;1
1617;199212;0.67;17.795;47.661;72.538;1.84;7;7.037;0.38;29;1
1617;199301;0.41;8.224;22.027;22.58;0.84;14;4.881;0.3;31;1
1617;199302;0.27;4.154;10.049;5.403;0.32;28;3.481;0.24;26;1
1617;199303;0.29;4.699;12.586;7.037;0.38;4;3.481;0.24;31;1
1617;199304;0.47;10.25;26.567;20.652;0.79;13;3.481;0.24;1;1
1617;199305;0.47;9.962;26.683;15.138;0.63;24;7.321;0.39;6;1
1617;199306;0.39;7.396;19.17;10.749;0.5;1;3.931;0.26;27;1
1617;199307;0.17;2.121;5.68;6.187;0.35;1;0.944;0.1;25;1
1617;199308;0.09;0.82;2.195;2.632;0.2;27;0.594;0.07;19;1
1617;199309;0.2;2.888;7.487;6.47;0.36;30;0.594;0.07;4;1
1617;199310;0.76;20.794;55.694;55.294;1.54;13;8.213;0.42;30;1
1617;199311;0.42;8.404;21.784;19.609;0.76;30;5.926;0.34;25;1
1617;199312;0.74;19.736;52.861;53.156;1.5;26;12.091;0.54;4;1
1617;199401;1.05;33.35;89.325;131.4;2.64;6;12.765;0.56;31;1
1617;199402;0.68;16.918;40.927;28.183;0.98;7;12.091;0.54;17;1
1617;199403;0.44;8.951;23.974;13.441;0.58;1;6.47;0.36;28;1
1617;199404;0.4;7.753;20.096;11.42;0.52;10;5.403;0.32;22;1
1617;199405;0.47;10.162;27.219;29.879;1.02;21;5.403;0.32;7;1
1617;199406;0.29;4.852;12.578;7.604;0.4;1;1.894;0.16;30;1
1617;199407;0.11;1.111;2.975;1.894;0.16;14;0.144;0.02;30;1
1617;199410;0.22;3.276;8.775;10.749;0.5;22;1.404;0.13;11;1
1617;199411;0.38;7.348;19.046;15.479;0.64;9;2.079;0.17;1;1
1617;199412;0.47;10.807;28.944;83;2;31;3.931;0.26;1;1
1617;199501;0.82;23.323;62.468;83;2;1;10.425;0.49;14;1
1617;199502;0.78;20.868;50.483;44.944;1.34;17;12.091;0.54;7;1
1617;199503;0.65;16.962;45.432;72.538;1.84;5;6.187;0.35;30;1
1617;199504;0.28;4.455;11.546;6.47;0.36;22;3.481;0.24;15;1
1617;199505;0.25;3.73;9.989;7.604;0.4;6;1.894;0.16;27;1
1617;199506;0.11;1.186;3.073;1.894;0.16;1;0.711;0.08;28;1
1617;199507;0.12;1.216;3.258;3.056;0.22;1;0.711;0.08;22;1
1617;199508;0.07;0.609;1.631;0.711;0.08;1;0.594;0.07;5;1
1617;199509;0.15;1.905;4.939;6.754;0.37;20;0.594;0.07;1;1
1617;199510;0.13;1.399;3.746;2.844;0.21;5;0.944;0.1;3;1
1617;199511;0.44;9.799;25.398;26.566;0.94;16;1.557;0.14;1;1
1617;199512;0.62;15.948;42.715;50.578;1.45;31;5.926;0.34;15;1
1617;199601;0.85;24.708;66.177;66.456;1.74;7;10.562;0.47;31;1
1617;199602;0.67;17.644;44.21;29.119;0.98;26;8.226;0.4;4;1
1617;199603;0.45;10.051;26.92;17.67;0.68;1;7.228;0.37;23;1
1617;199604;0.43;9.205;23.86;32.069;1.05;1;5.469;0.31;30;1
1617;199605;0.43;9.476;25.381;40.038;1.23;18;4.693;0.28;14;1
1617;199606;0.18;2.463;6.384;5.742;0.32;1;1.148;0.11;30;1
1617;199607;0.11;1.137;3.045;3.714;0.24;26;0.726;0.08;22;1
1617;199608;0.08;0.742;1.987;1.315;0.12;8;0.471;0.06;17;1
1617;199609;0.1;1.055;2.734;2.411;0.18;22;0.471;0.06;1;1
1617;199610;0.16;2.154;5.769;3.94;0.25;19;0.726;0.08;11;1
1617;199611;0.5;12.65;32.789;46.19;1.36;22;2.014;0.16;1;1
1617;199612;0.5;11.538;30.903;16.969;0.66;18;8.226;0.4;11;1
1617;199701;0.48;10.916;29.237;25.102;0.88;9;7.893;0.39;2;1
1617;199702;0.4;8.077;19.54;12.569;0.53;15;6.289;0.34;9;1
1617;199703;0.22;3.332;8.924;6.289;0.34;1;1.481;0.13;29;1
1617;199704;0.13;1.559;4.041;1.815;0.15;8;1.315;0.12;29;1
1617;199705;0.3;5.487;14.696;17.67;0.68;31;0.981;0.1;1;1
1617;199706;0.35;6.749;17.493;14.244;0.58;3;4.693;0.28;20;1
1617;199707;0.17;2.264;6.065;5.195;0.3;1;0.981;0.1;25;1
1617;199708;0.11;1.247;3.34;4.191;0.26;7;0.598;0.07;28;1
1617;199709;0.06;0.484;1.253;0.598;0.07;1;0.343;0.05;27;1
1617;199710;0.12;1.665;4.461;6.289;0.34;20;0.206;0.03;6;1
1617;199711;0.61;15.985;41.434;39.574;1.22;12;2.411;0.18;2;1
1617;199712;0.78;21.998;58.919;88.6;2.08;2;12.903;0.54;16;1
1617;199801;0.63;15.858;42.475;23.169;0.83;20;8.226;0.4;30;1
1617;199802;0.31;5.445;13.172;7.561;0.38;1;3.94;0.25;18;1
1617;199803;0.25;4.059;10.872;8.56;0.41;5;2.609;0.19;26;1
1617;199804;0.8;22.809;59.122;51.144;1.46;10;3.034;0.21;1;1
1617;199805;0.41;9.163;24.541;57.431;1.58;1;4.693;0.28;29;1
1617;199806;0.22;3.442;8.922;11.9;0.51;2;1.315;0.12;27;1
1617;199807;0.14;1.706;4.569;5.469;0.31;3;0.471;0.06;31;1
1617;199808;0.04;0.272;0.727;0.471;0.06;1;0.206;0.03;19;1
1617;199809;0.04;0.338;0.877;2.014;0.16;27;0.206;0.03;1;1
1617;199910;0.21;4.389;11.757;12.717;0.5;25;1.775;0.1;12;1
1617;199911;0.3;6.692;17.345;15.492;0.58;2;5.201;0.25;28;1
1617;199912;0.52;14.169;37.95;57.974;1.54;15;4.449;0.22;6;1
1617;200001;0.39;9.255;24.787;12.717;0.5;1;6.548;0.3;29;1
1617;200002;0.3;6.487;16.253;7.979;0.35;18;5.74;0.27;6;1
1617;200003;0.22;4.483;12.008;6.009;0.28;2;3.26;0.17;17;1
1617;200004;0.59;16.734;43.375;43.677;1.25;25;4.449;0.22;1;1
1617;200005;0.46;11.694;31.321;24.247;0.81;11;6.279;0.29;26;1
1617;200006;0.17;3.357;8.701;6.009;0.28;1;1.98;0.11;22;1
1617;200007;0.09;1.537;4.116;2.185;0.12;1;1.074;0.06;21;1
1617;200008;0.04;0.844;2.262;1.775;0.1;20;0.362;0.01;24;1
1617;200009;0.04;0.73;1.892;2.596;0.14;30;0.362;0.01;18;1
1617;200010;0.21;4.451;11.92;12.057;0.48;31;1.249;0.07;7;1
1617;200011;0.9;29.027;75.238;77.309;1.9;6;8.281;0.36;1;1
1617;200012;1.14;40.29;107.912;136.5;2.7;7;16.933;0.62;24;1
1617;200101;1.05;36.866;98.742;120;2.5;5;14.087;0.54;22;1
1617;200102;0.56;14.984;36.249;30.523;0.96;8;8.582;0.37;24;1
1617;200103;0.99;32.926;88.188;101.5;2.26;21;12.717;0.5;1;1
1617;200104;0.53;13.693;35.492;22.25;0.76;1;11.068;0.45;21;1
1617;200105;0.38;9.136;24.469;17.299;0.63;2;3.948;0.2;31;1
1617;200106;0.14;2.691;6.974;3.719;0.19;1;1.6;0.09;29;1
1617;200107;0.1;1.881;5.038;3.26;0.17;6;1.074;0.06;29;1
1617;200108;0.05;0.908;2.432;1.425;0.08;28;0.765;0.04;17;1
1617;200109;0.08;1.686;4.369;9.487;0.4;23;0.631;0.03;3;1
1617;200110;0.24;5.158;13.816;19.916;0.7;22;1.775;0.1;1;1
1617;200111;0.24;4.838;12.54;6.834;0.31;12;3.948;0.2;2;1
1617;200112;0.22;3.42;9.159;7.12;0.32;2;2.29;0.19;19;1
1617;200201;0.31;5.367;14.375;11.721;0.52;24;3.658;0.25;12;1
1617;200202;0.43;9.12;22.063;23.623;0.83;7;6.051;0.34;2;1
1617;200203;0.36;6.643;17.793;8.753;0.43;13;4.171;0.27;31;1
1617;200204;0.32;5.455;14.138;8.753;0.43;12;3.658;0.25;28;1
1617;200205;0.35;6.265;16.779;8.126;0.41;23;3.915;0.26;1;1
