indroea;anomes;hmedmes;qmedmes;apormedmes;qcmes;hcmes;dia_cmes;qnmes;hnmes;dia_nmes;orig_dato_id
1010;193203;;;;;;;;;;2
1010;193204;;;;;;;;;;2
1010;193205;;;;;;;;;;2
1010;193206;;;;;;;;;;2
1010;193207;;;;;;;;;;2
1010;193208;;;;;;;;;;2
1010;193209;;;;;;;;;;2
1010;193410;;;;;;;;;;2
1010;193411;;;;;;;;;;2
1010;193412;;;;;;;;;;2
1010;193501;;;;;;;;;;2
1010;193502;;;;;;;;;;2
1010;193503;;;;;;;;;;2
1010;193504;;;;;;;;;;2
1010;193505;;6.235;16.7;8.25;;;5;;;2
1010;193506;;;;;;;;;;2
1010;193507;;3.125;8.37;5;;;1.596;;;2
1010;193508;;1.674;4.484;2.2;;;1.596;;;2
1010;193509;;;;;;;;;;2
1010;193510;;;;;;;;;;2
1010;193511;;;;;;;;;;2
1010;193512;;;;;;;;;;2
1010;193601;;;;;;;;;;2
1010;193602;;;;;;;;;;2
1010;193603;;;;;;;;;;2
1010;193604;;;;;;;;;;2
1010;193605;;;;;;;;;;2
1010;193606;;6.353;16.467;11.964;;;4.6;;;2
1010;193607;;;;;;;;;;2
1010;193608;;;;;;;;;;2
1010;193609;;;;;;;;;;2
1010;194110;;;;;;;;;;2
1010;194111;;;;;;;;;;2
1010;194112;;;;;;;;;;2
1010;194201;;;;;;;;;;2
1010;194202;;;;;;;;;;2
1010;194203;;;;;;;;;;2
1010;194204;;;;;;;;;;2
1010;194205;;;;;;;;;;2
1010;194206;;;;;;;;;;2
1010;194207;;4.287;11.482;6.1;;;3;;;2
1010;194208;;;;;;;;;;2
1010;194209;;4.233;10.972;6.1;;;3.5;;;2
1010;194210;-0.07;;;;0.1;;;-0.2;;1
1010;194211;0;;;;0.1;;;-0.1;;1
1010;194212;0.12;;;;0.4;;;-0.15;;1
1010;194301;0.52;;;;0.4;;;-0.1;;1
1010;194302;0.21;;;;0.1;;;0.1;;1
1010;194303;0.12;;;;0.1;;;0.05;;1
1010;194304;0.03;7.638;19.797;11.964;0.1;21;6.1;0;10;1
1010;194305;-0.07;4.639;12.424;6.1;0;1;3.5;-0.15;25;1
1010;194306;-0.18;3.167;8.208;3.5;-0.15;1;3;-0.2;11;1
1010;194307;0.08;;;;0.05;;;-0.2;;1
1010;194308;0.11;;;;;;;;;1
1010;194309;0.09;;;;0.1;;;0;;1
1010;194310;0.05;14.528;38.912;61.95;0.4;20;4;-0.1;7;1
1010;194311;0.08;21.851;56.638;185.6;1;26;4;-0.08;11;1
1010;194312;0.09;12.447;33.338;31.6;0.25;1;6.1;0;12;1
1010;194401;-0.02;5.656;15.15;8.25;0.05;1;4;-0.1;20;1
1010;194402;-0.1;4.021;10.074;4.7;-0.05;1;3.5;-0.15;20;1
1010;194403;-0.03;5.747;15.393;11.96;0.1;26;3.5;-0.15;1;1
1010;194404;0.1;14.633;37.929;61.95;0.4;3;6.1;0;12;1
1010;194405;-0.09;4.284;11.474;6.1;0;1;3.5;-0.15;23;1
1010;194406;-0.08;4.62;11.975;6.1;0;22;3;-0.2;1;1
1010;194407;-0.11;4.202;11.254;8.25;0.05;7;3;-0.2;29;1
1010;194408;-0.08;4.668;12.502;6.1;0;12;2.2;-0.25;6;1
1010;194409;-0.08;4.982;12.912;17;0.15;11;3;-0.2;24;1
1010;194410;0.06;14.026;37.567;23.4;0.25;28;4.7;-0.2;1;1
1010;194411;0.03;12.603;32.668;20.6;0.2;25;9;-0.05;8;1
1010;194412;0.26;33.387;89.424;244.7;1.85;11;9;-0.05;6;1
1010;194502;0.1;15.871;38.396;23.4;0.25;7;13.4;0.05;14;1
1010;194503;0.06;13.823;37.022;20.6;0.2;24;11.2;0;2;1
1010;194504;0.01;11.833;30.672;15.7;0.1;1;7.3;-0.1;29;1
1010;194505;-0.09;7.732;20.71;11.2;0;19;5.9;-0.15;13;1
1010;194506;-0.11;6.927;17.954;7.3;-0.1;1;5.9;-0.15;12;1
1010;194507;-0.2;4.839;12.96;5.9;-0.15;1;3.6;-0.25;25;1
1010;194508;-0.17;5.819;15.587;11.2;0;17;3.6;-0.25;1;1
1010;194509;-0.2;4.743;12.295;9;-0.05;1;2.6;-0.3;28;1
1010;194510;-0.24;4.416;11.828;18.3;0.16;30;2.4;-0.32;3;1
1010;194511;0.08;15.237;39.493;33.5;0.4;17;8;-0.08;29;1
1010;194512;0.18;25.974;69.569;130;1.24;27;4.7;-0.2;15;1
1010;194601;-0.03;10.874;29.125;30.3;0.36;1;4;-0.22;28;1
1010;194602;-0.08;8.484;20.524;14.3;0.08;6;4;-0.22;28;1
1010;194603;0;14.261;38.197;59.3;0.7;24;4;-0.22;1;1
1010;194604;0.13;17.31;44.868;29;0.34;3;6.6;-0.12;28;1
1010;194605;0.18;19.868;53.214;37.8;0.46;1;12.6;0.04;26;1
1010;194606;0.03;15.82;41.005;108.4;1.1;1;2.4;-0.32;30;1
1010;194607;-0.31;2.51;6.722;3.5;-0.24;29;1.8;-0.36;12;1
1010;194608;-0.15;6.023;16.131;8;-0.08;27;2.6;-0.3;6;1
1010;194609;-0.15;5.933;15.379;8;-0.08;1;3.5;-0.24;28;1
1010;194610;-0.14;7.59;20.33;33.5;0.4;22;2.9;-0.28;6;1
1010;194611;-0.01;13.67;35.433;41.3;0.5;17;2.1;-0.34;12;1
1010;194612;0.45;42.726;114.437;208.5;1.68;8;14.3;0.08;1;1
1010;194701;0.24;25.51;68.325;94;1;13;11.2;0;31;1
1010;194702;0.51;58.586;141.731;450;2.78;22;10;0.02;1;1
1010;194703;0.56;50.048;134.05;130.3;1.24;4;22.9;0.24;17;1
1010;194704;0.26;24.633;63.85;39.4;0.48;2;19.5;0.18;20;1
1010;194705;0.06;14.239;38.137;24;0.26;5;6;-0.14;31;1
1010;194706;-0.17;5.3;13.738;6;-0.14;1;5;-0.18;15;1
1010;194707;-0.2;4.539;12.156;5;-0.18;1;4;-0.22;21;1
1010;194708;-0.14;6.41;17.168;9.4;-0.04;15;4;-0.22;1;1
1010;194709;-0.16;5.56;14.412;6.6;-0.12;1;4.7;-0.2;27;1
1010;194710;-0.19;6.632;17.764;22.9;0.24;28;1.6;-0.38;11;1
1010;194711;-0.17;7;18.144;22.9;0.24;29;1.5;-0.4;16;1
1010;194712;-0.06;14.019;37.549;117;1.16;29;1.5;-0.4;18;1
1010;194801;0.57;53.458;143.182;213.3;1.7;7;11.2;0;5;1
1010;194802;0.26;26.907;67.418;94;1;1;11.2;0;23;1
1010;194803;-0.03;9.961;26.68;14.3;0.08;3;4;-0.22;27;1
1010;194804;-0.19;5.04;13.064;10;-0.02;1;2.4;-0.32;30;1
1010;194805;-0.22;5.029;13.47;16.2;0.12;30;1.8;-0.36;6;1
1010;194806;-0.18;5.607;14.532;12.6;0.04;1;1.6;-0.38;29;1
1010;194807;-0.33;2.184;5.849;2.6;-0.3;3;1.6;-0.38;1;1
1010;194808;-0.32;2.381;6.376;3.1;-0.26;21;1.8;-0.36;1;1
1010;194809;-0.31;2.507;6.497;3.1;-0.26;7;2.1;-0.34;4;1
1010;194810;-0.19;7.242;19.397;30.3;0.37;30;1.6;-0.38;13;1
1010;194811;-0.03;10.377;26.896;26.5;0.3;7;5;-0.18;28;1
1010;194812;-0.04;11.039;29.566;26.5;0.24;13;3.5;-0.24;8;1
1010;194901;-0.05;9.629;25.79;20.6;0.2;5;4.7;-0.2;30;1
1010;194902;-0.17;5.457;13.202;8;-0.08;12;3.5;-0.24;7;1
1010;194903;-0.08;8.368;22.412;15.7;0.1;6;4.7;-0.2;2;1
1010;194904;-0.23;3.77;9.772;5.5;-0.16;2;2.9;-0.28;25;1
1010;194905;-0.31;2.448;6.558;3.1;-0.26;5;1.8;-0.36;30;1
1010;194906;-0.3;2.583;6.696;3.5;-0.24;3;1.8;-0.36;1;1
1010;194907;-0.36;1.835;4.916;2.4;-0.32;11;1.6;-0.38;9;1
1010;194908;-0.38;1.629;4.363;2.1;-0.34;25;1.5;-0.4;6;1
1010;194909;-0.36;1.937;5.02;2.9;-0.28;29;1.5;-0.4;16;1
1010;194910;-0.28;2.887;7.733;3.5;-0.24;29;2.4;-0.32;12;1
1010;194911;-0.14;6.713;17.401;14.3;0.08;22;3.1;-0.26;4;1
1010;194912;0.01;11.284;30.223;13.4;0.06;3;9.4;-0.04;27;1
